ID,TÍTULO,PROPRIETÁRIO,ESTADO,SUPORTE,DATA DE INSCRIÇÃO,ÂMBITO,CONTEÚDO,PERIODICIDADE,SITUAÇÃO PP,DATA DA SITUAÇÃO,WEBSITE,DISTRITO SEDE REDAÇÃO,CONCELHO SEDE REDAÇÃO,LOCALIDADE SEDE REDAÇÃO
123485,Tecnometal,AIMMAP - Associação dos Industriais Metalúrgicos Metalomecânicos e Afins de Portugal,Ativo,Online,2000-01-05,Nacional,Informação Especializada,Trimestral,Registo Definitivo,2000-01-05,https://www.metalportugal.pt/p452-revista-tecnometal-pt,Porto,Porto,Porto
123486,Revista Investigação em Enfermagem,"Formasau - Formação e Saúde, Lda.",Inativo,Online,2000-01-05,Nacional,Informação Especializada,Trimestral,Registo Cancelado Oficiosamente,2024-08-08,www.sinaisvitais.pt,Coimbra,Coimbra,Coimbra
123488,Planeta Azul,Jorge Manuel dos Santos Gaspar,Inativo,Papel,2000-01-05,,,Mensal,Registo Cancelado Oficiosamente,2007-07-19,,Lisboa,Cascais,
123489,Gazeta de Lisboa,Norberto Maria Ferreira,Inativo,,2000-01-05,,,Semanal,Registo Cancelado,2006-02-02,,Lisboa,Lisboa,
123490,Canal de Negócios - Jornal de Negócios,"(Canc.2005) Mediafin - Sociedade Editora, S.A.",Inativo,,2000-01-05,,,Diária,Registo Cancelado,2005-03-15,www.negocios.pt,Lisboa,Lisboa,
123492,Douro e Beira,"Colinaverde - Editora, Ldª",Inativo,Papel,2000-01-05,Regional,Informação Geral,Semanal,Registo Cancelado Oficiosamente,2008-08-11,,Viseu,Sernancelhe,
123493,Bolsa dos Seguros - Revista de Seguros e Pensões,"Actuarial - Consultadoria e Formação, Ldª",Inativo,Papel,2000-01-05,Nacional,Informação Especializada,Quadrimestral,Registo Cancelado,2012-03-07,www.actuarial.pt,Lisboa,Lisboa,
123494,Construção & Decoração,"Portae - Sociedade Portuguesa de Publicidade e Apoio às Empresas, Ldª",Inativo,,2000-01-05,,,,Registo Cancelado,2000-09-04,,Coimbra,Coimbra,
123495,Anúncios & Casa,Ana Carla Pinheiro Campos Lopes,Inativo,,2000-01-05,,,Semanal,Registo Cancelado,2000-09-04,,Coimbra,Soure,Alfarelos
123496,Notícias d'Ermesinde,"PLSS - Sociedade de Publicações, Ldª",Inativo,Papel,2000-01-05,Regional,,Quinzenal,Registo Cancelado Oficiosamente,2008-05-15,,Porto,Gondomar,
123497,Special - Arte Floral,"JPMI - Publicações e Publicidade, Ldª",Inativo,,2000-01-05,,,Trimestral,Registo Cancelado,2005-12-06,,Lisboa,Lisboa,
123498,The Entertainer,"Entertaines, S.A.",Inativo,,2000-01-05,,,Semanal,Registo Cancelado,2004-09-13,,Faro,Silves,Vale de Lousas
123499,Macinhata da Seixa,Fernando Sérgio Gomes de Bastos,Inativo,,2000-01-05,,,Trimestral,Registo Cancelado,2002-12-23,,Aveiro,Oliveira de Azeméis,
123501,Turiregiões,"Isaura & Filho, Ldª",Inativo,,2000-01-05,,,Mensal,Registo Cancelado,2006-03-10,,Lisboa,Lisboa,
123502,Vale de Cambra Hoje,Fábrica da Igreja Paroquial de Vila Chã,Inativo,,2000-01-12,,,Mensal,Registo Cancelado,2005-11-07,,Beja,Cuba,
123503,Terras de Santa Maria Madalena,Fábrica da Igreja Paroquial da Freguesia do Campo,Ativo,Papel,2000-01-12,Regional,Doutrinária,Mensal,Registo Definitivo,2000-01-12,,Viseu,Viseu,Viseu
123504,Ozono,"Costa do Castelo - Filmes, S.A.",Inativo,,2000-01-12,,,Mensal,Registo Cancelado,2000-06-21,,Lisboa,Lisboa,
123505,Lusofocus,"Factual - Comunicação, Ldª",Inativo,,2000-01-12,,,Mensal,Registo Cancelado,2000-07-04,,Lisboa,Lisboa,
123506,Ex aequo - Revista da Associação Portuguesa de Estudos sobre as Mulheres,Associação Portuguesa de Estudos Sobre as Mulheres,Ativo,Online,2000-01-12,Nacional,Informação Especializada,Semestral,Registo Definitivo,2000-01-12,https://exaequo-ojs.apem-estudos.org/exaequo/pt,Lisboa,Lisboa,Lisboa
123510,Top Car Tuning & auto,"Duopress - Edições e Publicações de Jornais e Revistas, Lda.",Inativo,,2000-01-27,,,Mensal,Registo Cancelado,2004-02-19,,Coimbra,Coimbra,
123511,Terra Ruiva,Associação de Desenvolvimento do Concelho de Silves Pé de Vento,Ativo,Papel/Online,2000-01-28,Regional,Informação Geral,Mensal,Registo Definitivo,2000-01-28,https://www.terraruiva.pt/,Faro,Silves,São Bartolomeu de Messines
123512,Revista 4 X 4,"(Canc.2006) Depresseditores - Sociedade Unipessoal, Ldª",Inativo,,2000-01-31,,,Mensal,Registo Cancelado,2006-02-02,,Lisboa,Lisboa,Lumiar
123513,"Campo , o - Jornal Regional","JOTA CBS - Comunicação e Imagem, Lda.",Inativo,Papel,2000-01-31,Regional,Informação Geral,Semanal,Registo Cancelado Oficiosamente,2008-06-24,,Beja,Castro Verde,
123514,Página do Consumidor,Adelino Carinhas Pinto,Inativo,,2000-01-31,,,Mensal,Registo Cancelado,2000-09-04,,Lisboa,Lisboa,
123515,Artistas Unidos - Revista,"Artistas Unidos - Produção e Realização de Cinema, Teatro e Outros Espectáculos Artísticos, Ldª",Inativo,,2000-01-31,,,Semestral,Registo Cancelado,2005-05-25,,Lisboa,Lisboa,
123516,Tecnologias do Ambiente,"Hermanns & Xavier, Lda.",Inativo,Papel,2000-01-31,Nacional,Informação Especializada,Bimestral,Registo Cancelado,2014-09-24,www.ambiente.pt.com,Lisboa,Mafra,Rogel
123517,Jornal de S.João de Vêr,"Alto Verbo - Unipessoal, Lda.",Inativo,Papel,2000-01-31,Regional,Informação Geral,Mensal,Registo Cancelado Oficiosamente,2014-03-28,,Aveiro,Santa Maria da Feira,
123518,PME Negócios,"IIF - Instituto de Informacao Em Franchising, Ldª",Inativo,,2000-02-02,,,Bimestral,Registo Cancelado,2006-03-01,,Lisboa,Lisboa,
123519,Azores News,"Publiçor - Publicações & Publicidade, Lda.",Inativo,Papel,2000-02-07,Regional,,Semanal,Registo Cancelado Oficiosamente,2008-02-28,www.azoresnews.net,Região Autónoma dos Açores,Ponta Delgada,
123520,X-Team,"Motor Press Lisboa - Edição e Distribuição, S.A.",Inativo,,2000-02-07,,,Anual,Registo Cancelado,2004-03-25,,Lisboa,Oeiras,Dafundo
123521,Rosário e Vida Cristâ,Secretariado Nacional do Rosário,Ativo,Papel,2000-02-07,Nacional,Doutrinária,Trimestral,Registo Definitivo,2000-02-07,,Santarém,Ourém,Cova da Iria
123522,Cox2 Em Primeira Mão,"Monsanto Portugal, Ldª",Inativo,,2000-02-07,,,Trimestral,Registo Cancelado,2005-12-13,,Setúbal,Seixal,Coina
123523,"Correio de Seia, O",Eduardo  Serafim Pinto Gaspar,Inativo,,2000-02-14,,,Mensal,Registo Cancelado,2006-03-10,,Guarda,Seia,Raposeira
123524,Maia Hoje,Artur José Machado Bacelar,Ativo,Papel/Online,2000-02-18,Regional,Informação Geral,Quinzenal,Registo Definitivo,2026-01-22,www.maiahoje.pt,Porto,Maia,Maia
